Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,131.800003,133.000000,126.949997,127.949997,127.949997,7903538
2017-01-23,127.199997,130.649994,126.699997,129.750000,129.750000,5153324
2017-01-24,130.399994,131.750000,130.000000,131.399994,131.399994,5005743
2017-01-25,131.699997,133.949997,129.800003,133.250000,133.250000,13157954
2017-01-27,134.199997,138.699997,134.000000,137.350006,137.350006,11400945
2017-01-30,137.449997,140.850006,136.350006,137.649994,137.649994,10399258
2017-01-31,137.899994,138.399994,134.300003,135.550003,135.550003,8428944
2017-02-01,136.699997,140.899994,134.649994,140.550003,140.550003,18070233
2017-02-02,140.600006,144.399994,139.300003,142.600006,142.600006,12319698
2017-02-03,142.949997,151.199997,142.649994,150.149994,150.149994,19284357
2017-02-06,152.500000,155.300003,148.550003,149.199997,149.199997,18121892
2017-02-07,149.949997,155.699997,147.649994,151.649994,151.649994,49440931
2017-02-08,151.949997,152.500000,146.199997,149.899994,149.899994,19165911
2017-02-09,150.000000,151.000000,144.100006,144.649994,144.649994,15635676
2017-02-10,145.300003,147.300003,144.500000,145.100006,145.100006,9057524
2017-02-13,145.699997,146.199997,139.850006,142.350006,142.350006,10159858
2017-02-14,142.899994,144.750000,141.649994,144.050003,144.050003,9227243
2017-02-15,143.699997,144.699997,138.750000,139.800003,139.800003,9307895
2017-02-16,140.699997,142.350006,138.050003,140.949997,140.949997,8738826
2017-02-17,142.050003,143.699997,139.500000,140.250000,140.250000,7242602
2017-02-20,140.250000,143.449997,139.399994,143.050003,143.050003,7037820
2017-02-21,143.699997,145.149994,143.100006,143.800003,143.800003,8887995
2017-02-22,144.000000,144.750000,141.500000,141.949997,141.949997,6822132
2017-02-23,142.199997,143.500000,139.600006,140.149994,140.149994,7758688
2017-02-27,140.000000,141.250000,138.649994,139.649994,139.649994,4881818
2017-02-28,140.000000,142.350006,139.850006,141.399994,141.399994,5188965
2017-03-01,142.000000,144.550003,142.000000,142.649994,142.649994,6092933
2017-03-02,143.649994,144.199997,138.050003,139.250000,139.250000,5912934
2017-03-03,139.000000,140.350006,138.050003,139.949997,139.949997,6415383
2017-03-06,140.649994,141.800003,140.300003,141.550003,141.550003,3898856
2017-03-07,142.899994,143.449997,141.100006,141.500000,141.500000,4555750
2017-03-08,141.500000,142.100006,138.899994,141.250000,141.250000,5724981
2017-03-09,140.899994,142.350006,140.350006,141.149994,141.149994,3555545
2017-03-10,142.199997,143.399994,140.800003,141.699997,141.699997,4159067
2017-03-14,145.000000,146.000000,143.100006,143.800003,143.800003,5530287
2017-03-15,143.000000,146.699997,142.850006,145.399994,145.399994,6275582
2017-03-16,146.500000,148.899994,145.750000,148.199997,148.199997,8592406
2017-03-17,148.800003,148.949997,144.149994,144.800003,144.800003,7365829
2017-03-20,144.500000,146.449997,143.399994,145.199997,145.199997,4685006
2017-03-21,145.350006,145.850006,141.500000,142.850006,142.850006,7549120
2017-03-22,140.699997,141.449997,135.850006,136.399994,136.399994,9415163
2017-03-23,136.550003,137.399994,135.350006,135.850006,135.850006,8454835
2017-03-24,136.399994,143.449997,136.350006,141.500000,141.500000,18367831
2017-03-27,141.350006,148.300003,141.250000,147.250000,147.250000,16938800
2017-03-28,148.100006,149.500000,146.100006,148.800003,148.800003,10298223
2017-03-29,149.000000,151.149994,146.699997,148.850006,148.850006,12009076
2017-03-30,149.000000,154.000000,148.500000,153.199997,153.199997,13801286
2017-03-31,152.500000,152.800003,149.500000,149.899994,149.899994,11204474
2017-04-03,151.899994,151.899994,149.500000,149.949997,149.949997,4498149
2017-04-05,150.699997,152.500000,148.550003,151.199997,151.199997,8301745
2017-04-06,150.449997,153.300003,150.000000,151.550003,151.550003,7704706
2017-04-07,150.850006,152.550003,148.800003,149.449997,149.449997,6675203
